epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9759.69,1.04185,1.68658,1.22358,0.76937,0.6725,0.75824,0.54978,1.01125,1.40228,1.2294,0.0672075,0.000331237,0.000331237
2,13227.6,0.9928,1.18293,1.17378,0.84184,0.66602,0.78907,0.60756,0.81944,1.1315,1.06221,0.0340746,0.000531669,0.000531669
3,17093.4,0.92823,0.97644,1.12146,0.88165,0.79612,0.85703,0.68362,0.79661,0.79917,1.0549,0.000808426,0.000598782,0.000598782
4,21420.7,0.72535,0.65178,1.00121,0.92375,0.83652,0.90197,0.77454,0.5533,0.57471,0.92242,0.00040006,0.00040006,0.00040006
5,24943.9,0.56971,0.48186,0.92735,0.96526,0.89395,0.93321,0.84109,0.47096,0.42633,0.86902,0.00020008,0.00020008,0.00020008
